"","0","1","2","3","4","5","6"
"356",0,0.01,0.01,0.27,0.03,0.62,0.06
"357",0.01,0.04,0.02,0.59,0.05,0.25,0.04
"358",0,0.01,0,0.97,0.01,0.01,0
"359",0.01,0.02,0.03,0.21,0.24,0.44,0.05
"360",0.11,0,0,0.06,0.01,0.77,0.05
"361",0.29,0.01,0.18,0.07,0.24,0.08,0.13
"362",0.03,0.03,0.79,0.01,0.07,0,0.07
"363",0,0.01,0,0.01,0.95,0.03,0
"364",0.15,0,0.3,0.04,0.2,0.17,0.14
"365",0.1,0.04,0.09,0.22,0.16,0.36,0.03
"366",0.06,0.01,0,0.07,0.02,0.03,0.81
"367",0.01,0.09,0.01,0.24,0.5,0.11,0.04
"368",0,0,0,0.01,0.97,0.02,0
"369",0.8,0,0.01,0.04,0.07,0.05,0.03
"370",0,0.99,0,0,0,0,0.01
"371",0.01,0.01,0.08,0.77,0.06,0.05,0.02
"372",0.09,0.01,0.41,0.16,0.03,0.1,0.2
"373",0.07,0.02,0.17,0.38,0.17,0.18,0.01
"374",0.06,0,0.03,0.11,0.05,0.73,0.02
"375",0.02,0.01,0.05,0.02,0.78,0.04,0.08
"376",0.03,0.01,0.83,0.08,0,0.02,0.03
"377",0.02,0.01,0.03,0.06,0.84,0.02,0.02
"378",0.02,0.01,0.02,0.04,0.03,0.85,0.03
"379",0,0,0.04,0.08,0.73,0.08,0.07
"380",0.22,0,0.02,0.27,0.04,0.44,0.01
"381",0.01,0,0.8,0.18,0,0.01,0
"382",0,0,0.01,0.04,0.04,0.9,0.01
"383",0,0.97,0.02,0.01,0,0,0
"384",0,0.94,0.01,0.04,0,0.01,0
"385",0.1,0,0.1,0.26,0,0.49,0.05
"386",0.1,0,0.11,0.64,0.01,0.13,0.01
"387",0.01,0.9,0.04,0.01,0,0,0.04
"388",0.04,0.01,0.08,0.02,0.1,0.03,0.72
"389",0,0,0.02,0,0.04,0.01,0.93
"390",0.19,0.01,0.4,0.26,0.06,0.03,0.05
"391",0,0.02,0.9,0.03,0.01,0.01,0.03
"392",0,0.08,0.24,0.05,0.46,0.08,0.09
"393",0.01,0,0.03,0.85,0,0.09,0.02
"394",0,0.01,0.01,0.66,0.05,0.27,0
"395",0.74,0,0.09,0,0.03,0.07,0.07
"396",0,0.96,0.02,0.01,0,0,0.01
"397",0.2,0.06,0.11,0.22,0.11,0.15,0.15
"398",0.94,0,0,0,0.04,0.01,0.01
"399",0.82,0,0,0.04,0,0.13,0.01
"400",0,0.99,0,0,0.01,0,0
"401",0.97,0,0,0,0,0,0.03
"402",0.02,0.01,0.03,0.13,0.17,0.5,0.14
"403",0.05,0.09,0.01,0,0.14,0.39,0.32
"404",0.01,0,0.02,0,0.02,0,0.95
"405",0.03,0,0.02,0.02,0.91,0,0.02
"406",0,1,0,0,0,0,0
"407",0.02,0,0.03,0.01,0.02,0.03,0.89
"408",0.01,0,0,0.01,0.93,0.02,0.03
"409",0,0,0.02,0,0.05,0.01,0.92
"410",0,0,0.77,0.07,0.01,0.03,0.12
"411",0,1,0,0,0,0,0
"412",0.08,0,0.56,0.11,0.06,0.04,0.15
"413",0.18,0.02,0.26,0.19,0.11,0.18,0.06
"414",0,0,0.84,0.02,0.04,0.01,0.09
"415",0.01,0.36,0.04,0.13,0.14,0.26,0.06
"416",0.01,0.08,0.68,0.03,0.01,0.02,0.17
"417",0.03,0.03,0.07,0.01,0.75,0.03,0.08
"418",0,1,0,0,0,0,0
"419",0.02,0.01,0,0.92,0.01,0.03,0.01
"420",0,1,0,0,0,0,0
"421",0.89,0,0.02,0.02,0,0.06,0.01
"422",0.93,0,0.01,0,0.01,0.02,0.03
"423",0,1,0,0,0,0,0
"424",0.67,0,0.04,0.04,0.04,0.17,0.04
"425",0,1,0,0,0,0,0
"426",0,1,0,0,0,0,0
"427",0.95,0,0.01,0,0,0.03,0.01
"428",0.96,0,0,0,0,0.04,0
"429",0,0,0.04,0,0.02,0.02,0.92
"430",0,0.01,0.03,0.03,0.9,0.03,0
"431",0.01,0.04,0.86,0.05,0.01,0.03,0
"432",0.09,0.02,0.04,0.34,0.06,0.38,0.07
"433",0.89,0,0.01,0.01,0.03,0.04,0.02
"434",0.01,0.05,0.04,0.07,0.02,0.79,0.02
"435",0.04,0,0.02,0,0.88,0.03,0.03
"436",0,0.04,0.05,0.01,0.85,0.03,0.02
"437",0.94,0,0.02,0.02,0,0.02,0
"438",0.95,0,0.01,0.02,0,0.02,0
"439",0,1,0,0,0,0,0
"440",0,0.01,0.02,0,0.02,0,0.95
"441",0,0.86,0.07,0,0,0.03,0.04
"442",0.92,0,0.01,0.04,0,0.02,0.01
"443",0.06,0.02,0.13,0.08,0.03,0.07,0.61
"444",0.01,0,0.01,0,0.96,0.01,0.01
"445",0.02,0,0.04,0,0.07,0.02,0.85
"446",0.02,0.06,0.69,0.06,0.05,0.03,0.09
"447",0.56,0,0.07,0.17,0.03,0.09,0.08
"448",0,1,0,0,0,0,0
"449",0.95,0,0.01,0.01,0,0.02,0.01
"450",0.01,0,0,0.01,0.97,0,0.01
"451",0.04,0,0.75,0.05,0.09,0.01,0.06
"452",0.12,0.01,0.05,0.01,0.02,0.72,0.07
"453",0.83,0,0.04,0.04,0.03,0.04,0.02
"454",0,0,0,0.01,0.96,0.03,0
"455",0.02,0,0.02,0.01,0.03,0.02,0.9
"456",0.06,0.02,0.88,0.01,0,0.02,0.01
"457",0.14,0.01,0.7,0.07,0.02,0.03,0.03
"458",0,0.01,0.01,0.89,0,0.08,0.01
"459",0.05,0.65,0.02,0.04,0.04,0.04,0.16
"460",0.83,0,0.02,0.03,0,0.07,0.05
"461",0,1,0,0,0,0,0
"462",0.01,0.07,0.16,0.55,0.04,0.15,0.02
"463",0.04,0.06,0.75,0.02,0.06,0.02,0.05
"464",0.88,0,0.03,0.02,0,0.07,0
"465",0.05,0.02,0.02,0.54,0.04,0.32,0.01
"466",0.07,0.01,0.77,0.01,0.03,0.02,0.09
"467",0.02,0,0.04,0.03,0.8,0.04,0.07
"468",0.02,0.01,0.05,0,0.05,0.86,0.01
"469",0.1,0.06,0.02,0.02,0.22,0.45,0.13
"470",0.03,0,0.79,0,0.09,0,0.09
"471",0.01,0.01,0.03,0.86,0,0.08,0.01
"472",0.06,0,0,0.57,0.03,0.33,0.01
"473",0.05,0.03,0.07,0.78,0.02,0.03,0.02
"474",0.05,0.01,0,0.02,0.05,0.08,0.79
"475",0,0.99,0,0,0,0.01,0
"476",0.05,0,0.07,0.03,0.2,0.01,0.64
"477",0.89,0,0.05,0.01,0,0.01,0.04
"478",0,0,0,0.09,0.01,0.85,0.05
"479",0.86,0,0.03,0.03,0.01,0.04,0.03
"480",0.01,0.01,0,0,0.94,0.04,0
"481",0.02,0.02,0.03,0.09,0.76,0.06,0.02
"482",0.95,0,0.02,0,0,0.02,0.01
"483",0.01,0,0.06,0.03,0.01,0.02,0.87
"484",0.02,0.04,0.45,0.06,0.28,0.08,0.07
"485",0,0.01,0,0.18,0.01,0.77,0.03
"486",0.01,0,0.02,0,0.02,0.01,0.94
"487",0,0.01,0.9,0.05,0.01,0.01,0.02
"488",0.01,0.17,0.12,0.53,0.02,0.13,0.02
"489",0.03,0.01,0.82,0.04,0.03,0.03,0.04
"490",0.08,0.04,0.17,0.4,0.03,0.27,0.01
"491",0.78,0.01,0.04,0.05,0.01,0.11,0
"492",0,0,0.01,0.02,0.92,0.03,0.02
"493",0.02,0.03,0.01,0.39,0.1,0.41,0.04
"494",0.05,0.02,0.01,0.05,0.12,0.75,0
"495",0,0.47,0.12,0.23,0.06,0.06,0.06
"496",0.02,0,0.05,0.01,0.85,0.02,0.05
"497",0.01,0.04,0.03,0.08,0.04,0.79,0.01
"498",0.04,0.03,0.01,0.46,0.31,0.13,0.02
"499",0.09,0,0.13,0.02,0.14,0.04,0.58
"500",0,0.01,0.03,0.01,0.89,0.03,0.03
"501",0.04,0,0.01,0.03,0.86,0.06,0
"502",0.01,0,0,0.03,0.92,0.04,0
"503",0.77,0,0.06,0,0.06,0.05,0.06
"504",0,0,0,0.13,0.74,0.09,0.04
"505",0,0.97,0,0.01,0.02,0,0
"506",0.05,0.12,0.06,0.02,0.12,0.61,0.02
"507",0.08,0.06,0.09,0.29,0.12,0.24,0.12
"508",0.12,0.01,0.12,0.11,0.09,0.15,0.4
"509",0,1,0,0,0,0,0
"510",0.04,0,0.09,0.16,0.11,0.08,0.52
